name,category,description,latitude,longitude,tags,price,address ,link,pro tip,
stuff,objects Dept,"9000sqft modern eclectic antique warehouse. furniture rotates often. can be hit or miss, but deals are easy to come by.",37.894529,-122.2999886,"vintage, store, furniture",$$,"619 San Pablo Ave, Albany, CA 94706",https://stuffvintagemodern.com,,
albany sauna & tubs,aesthetic moments,"bare(ish)bones finnish saunas & outdoor hot tubs. low-key dope products store up front. heat, soak, feel human. ",37.8898569,-122.3004436,"sauna, chilllll, hot tub",$$,"1002 Solano Ave, Albany, CA 94706",https://albanysauna.com,,
wojia hunan cuisine,food,"a big ass, smackin' ass menu with not a lot of misses. best for a big group — only because you get to try more. better food than vibes, but i love dining there for that reason. ",37.8895871,-122.2983939,"chinese, big group, restaurant, the spot",$$,"917 San Pablo Ave, Albany, CA 94706",https://wojiahunancuisine.com,"""eggplant with grind peppers"" is THE best dish in the east bay. ",
saigon seafood harbor,food,dim sum & cantonese seafood classics -- carts loaded with dumplings & crab. come with a big group.,37.9003767,-122.3088853,"chinese, big group, restaurant, seafood",$$,"3150 Pierce St, Richmond, CA 94804",https://saigonharbors.com,"""special lobster e fu noodles"" = slurp slurp.",
flowerland,aesthetic moments,urban oasis/nursery + hirewire coffee hut. good place to go alone if you need some space (in public). ,37.8904122,-122.2915722,"nursery, coffee",$$,"1330 Solano Ave, Albany, CA 94706",https://flowerlandshop.com,"snag one of the heated chairs with your coffee. if that's taken, there are many hidden seating areas throughout the land of flowers.",
korean superette,food,"cozy korean market & café; banchan, bulgogi bowls & spicy rice cakes to go. i like eating warm soup in the back when winter brings rain.",37.8911795,-122.2863073,"korean, restaurant, market",$$,"1539 Solano Ave, Berkeley, CA 94707",https://korean-superette.com,,
of all places,food,"u *could* get stoned and come in for an ~~unrivaled~~ selection of perfect little munchies. or begin a hot picnic date here. or take a child for ""one"" special treat. the most smackin' snack shop out there.",37.8915201,-122.278932,"market, picnic",$$,"1841 Solano Ave, Berkeley, CA 94707",https://ofallplacesmarket.com,find joe or celia (our snack curators/the best ppl) and describe exactly what you're up to. let them excise your munchie demons. ,
pegasus books,objects Dept,"new & used bookstore. pegasus has a few locations in the east bay, but i've found this one to have the best selection of used art, architecture, and cookbooks. ",37.8916479,-122.2785477,"bookstore, store",$,"1855 Solano Ave, Berkeley, CA 94707",https://pegasusbookstore.com,,
cragmont rock,touch grass,pocket-sized rock park with bay views. picnic tables and views. catch me at the hoop.,37.8920771,-122.2640484,"park, picnic",free.99,"960 Regal Rd, Berkeley, CA 94708",https://berkeleyca.gov/parks-recreation/parks/cragmont-rock-park,,
hella bagels,food,hand‑rolled bagels made by a dope east bay local. the east bay bagel scene has become decently legit -- blake is putting out the best flavor combinations.,37.8858464,-122.2973087,"breakfast, bagels",$$,"1019 San Pablo Ave, Albany, CA 94706",https://www.hella-bagels.com,you should probably preorder.,
lulu,food,"très lovely california take on palestinian cuisine. a personal favorite brunch spot — though tbh I haven't been for din, yet. chef mona is, herself, a pearl.",37.8901914,-122.2984488,"middle eastern, palestinian, breakfast",$$,"1106 Solano Ave, Albany, CA 94706",https://www.lulusolano.com,the shukaquiles hit equally hard hungover or not. ,
pâtisserie rotha,food,french pastry as perfect as you're going get in the east bay.,37.8848399,-122.2969211,"bakery, breakfast, the spot",$$,"1051 San Pablo Ave, Albany, CA 94706",https://www.patisserierotha.com,get there close to opening: the good shit sells out fast. ,
tokyo fish market,food,"specialty japanese market with sushi‑grade fish, produce, deli bentos & a sick gift shop.",37.8815033,-122.2964892,"market, seafood, japanese",$$,"1220 San Pablo Ave, Berkeley, CA 94706",https://www.tokyofish.net,,
fieldwork brewing company,drinks,torched? maybe. cool? no. still some of the best beer around? yup. for those of you who want to escape into the crowd for a moment or anyone with kids. catch me drawing w crayons.,37.8812613,-122.3023516,"brewery, beer",$,"1160 Sixth St, Berkeley, CA 94710",https://fieldworkbrewing.com,the detroit-style pizza low-key smacks. ,
hammerling wines,drinks,"u want ecologically-sound wine made by someone who actually knows what they're doing? (shots fired at a lot of y'all). calling it now, josh will go down as one of the best winemakers in california of our time. the supreme ruler of sparkling. ",37.8778795,-122.3022402,"winery, wine, cool space, the spot",$$,"1350 Fifth St, Berkeley, CA 94710",https://hammerlingwines.cohttps://fieldworkbrewing.com,many of those bottles will age well. ,
broc cellars,drinks,"an og of the california natural wine movement. although the brand has blown up, quality has remained high. no vinegar water here. not california's most complex wines, but they're consistently delicious.",37.8789101,-122.3026462,"winery, wine",$$,"1300 Fifth St, Berkeley, CA 94710",https://broccellars.com,"if you want to spend a based day in berkeley, spend the day in the neighborhood getting drunk here and neighboring urban wineries. ",
hida tools,objects Dept,"i'm a tool junkie as well as a nice things junkie, but - more than anything - a sucker for a high quality japanese knife. hida has all of these things. the spot to buy a personal gift for a friend who uses their body. ",37.8796407,-122.2952047,"japanese, knives, tools, store",$$$,"1333 San Pablo Ave, Berkeley, CA 94702",https://hidatool.com,highest trust knife sharpening in the east bay. ,
monterey market,food,"if a farmers' market had a brick and mortar. not quite berkeley bowl in size and diversity of finds, but higher quality -- at least across the produce aisle(s).",37.8812113,-122.2822384,"market, picnic",$$,"1550 Hopkins St #2711, Berkeley, CA 94707",https://www.montereymarket.com,quadruple the amount of fresh herbs you cook with. ,
monterey fish market,food,"high quality, mostly local fish. the place to get fish.",37.8816619,-122.281529,"market, seafood",$$,"1582 Hopkins St, Berkeley, CA 94707",https://www.montereyfish.com,,
fava,food,"best lunch in the ""gourmet ghetto"" (your name, alice, not mine) no questions asked. served out of a tiny window. i would suggest menu items, but the whole thing's fire. mostly to-go/sidewalk seating.",37.8802111,-122.2686344,"restaurant, sidewalk seats, middle eastern, the spot, lunch",$$,"2114 Vine St, Berkeley, CA 94709",https://www.favaonvine.com,grab a bottle of pouilly fuissé across the street at vintage berkeley and head up the hill to the rose garden at cordirnices for a picnic under the pergola. ,
aftel archive of curious scents,aesthetic moments,"part museum/part store/part scent consultancy, the aftel archive is the life work of fragrance jedi master mandy aftel. get tickets in advance and give this small museum its due time.",37.8794825,-122.2683965,"museum, store",$$$,"1518 Walnut St, Berkeley, CA 94709",https://www.aftelier.comhttps://www.favaonvine.com,mandy's books will change your life if you enjoy spending time in the kitchen. ,
east bay vivarium,aesthetic moments,"i'm not a snake guy, i hate spiders, & honestly i'm creeped out by animals in cages. that said, the it's the creepy factor alone the brings me in here every time I drag myself to fourth street — a destination that generally confirms to out-of-town friends that i live in the suburbs.",37.8696058,-122.2990141,"store, take the kids",$$$,"1827 Fifth St Suite C, Berkeley, CA 94710",https://www.eastbayvivarium.org,take a kid here if the oakland zoo feels too far away. ,
standard & strange,objects Dept,"clothes, such beautiful clothes. mostly men's, but not exclusively. one of their three brick in mortars — the others found in new york and santa fe. special garments from around the world with a strong emphasis on japan + europe + usa.",37.8690617,-122.2999257,"store, clothes, men's clothes",$$$$,"755 Hearst Ave, Berkeley, CA 94710",https://standardandstrange.comhttps://www.eastbayvivarium.org,"these folks embody the ""buy fewer, better things"". if you buy a piece that doesn't fit right or gets damaged in some way, take it in and they'll help you hem/patch it up. .",
bows and arrows,objects Dept,"so many mensware designers that I crush on live on the rack here. clothes, shoes, pants, bags, accessories, etc. jerry is a world-class curator who's shop would be a destination in any city on any planet.",37.8692131,-122.300206,"store, clothes, men's clothes",$$$$,"1827 Fourth St, Berkeley, CA 94710",https://bowsandarrowsberkeley.com,"send me money to shop here, pls. ",
ali golden,objects Dept,"women's clothing selection unmatched anywhere close to here. in house label + curated racks defined both by class and levity. independent, sustainable classics that last. ",37.8690449,-122.3006113,"store, clothes, women's clothes",$$$,"1844 Fourth St, Berkeley, CA 94710",https://aligolden.comhttps://bowsandarrowsberkeley.com,grab a bottle of cowboy grass for your boo if/when you drop $$z here. ,
cultured pickle shop,food,i bow down to these pros. rare on this side of the world is the family who commits themselves to their niche with such passion. simplicity: perfect pickles and ferments. ,37.8629036,-122.2970935,"restaurant, shop",$$,"800 Bancroft Way Suite #105, Berkeley, CA 94710",https://culturedpickleshop.com,"their ""rice and pickles"" meal *is* the most underrated lunch in the bay (wknds only). ",
viks chaat,food,"cafeteria‑style Indian street‑food mecca; chaat, dosas & biryanis served fast. family‑run for 25+ years.",37.8613866,-122.2983939,"restaurant, indian",$$,"2390 Fourth St, Berkeley, CA 94710",https://vikschaat.comhttps://culturedpickleshop.com,,
berkeley bowl west,food,"istanbul has the grand bazaar, bangkok has or tor kor, the east bay has berkeley bowl. there is no better ""supermarket"" in the world than berkeley bowl -- I stand by that. i take people visiting from out of town to see berkely bowl. sister outpost of Berkeley’s original market, only bigger. warehouse‑sized aisles overflowing with exotic fruits, veggies & bulk goods. hard to not find what you need here.",37.8535336,-122.2903762,market,$$,"920 Heinz Ave, Berkeley, CA 94710",https://www.berkeleybowl.com,,
good to eat,food,the whole menu is fire. women/queer‑owned taiwanese spot with a daily rotating seasonal menu. fine‑dining techniques purchased at the counter. ,37.8472242,-122.2906138,"restaurant, taiwanese, the spot",$$,"1298 65th St Suite #1, Emeryville, CA 94608",https://www.wearegoodtoeat.com,,
berkeley bowl,food,you thought i wasn't going to put bb on this?! iconic independent grocery store & produce paradise.,37.8568102,-122.2672381,market,$$,"2020 Oregon St, Berkeley, CA 94703",https://www.berkeleybowl.com,,
slash denim,objects Dept,denim shrine since '79. carla & crew fit you into the perfect pair of vintage levi’s or new jeans. old‑school service & raw selvedge.,37.8586258,-122.2533581,"store, clothes, men's clothes, women's clothes, vintage, the spot",$$,"2840 College Ave, Berkeley, CA 94705",https://slashdenim.online,,
fournée bakery,food,tiny french bakery to hit before a hike in the hills. worth the inevitable line.,37.8587737,-122.244229,"bakery, breakfast",$$,"2912 Domingo Ave, Berkeley, CA 94705",https://www.fourneebakery.com,,
pretty penny,objects Dept,"vintage & modern clothing shop with salon vibes. curated threads from the 1920s–70s, buy/sell/trade and maybe get your hair done upstairs.",37.8565581,-122.2528825,"store, clothes, women's clothes, vintage",$$,"2981 College Ave, Berkeley, CA 94705",https://prettypennyclothing.com,,
south berkeley farmers' market,food,"every east bay chef's favorite farmer's market. tuesday afternoons on adeline & 63rd. the best farms, not a ton of fluff.",37.847765,-122.2719306,"market, farmers' market, event",$,"Adeline St &, 63rd St, Berkeley, CA 94703",https://ecologycenter.org/fm/,,
redfield cider,drinks,"petite cider bar & bottle shop in rockridge. flights of craft ciders, natural wines & beers with snacks. welcoming, kid‑friendly parklet.",37.8464586,-122.2521505,"bar, wine, cider, beer",$$,"5815 College Ave, Oakland, CA 94618",https://www.redfieldcider.com,"olivia and mike know more about apples than anyone you've ever met, guaranteed. ask them anything and be amazed.",
bad walter's bootleg ice cream,food,"garage-born ice cream shop turned legit. sydney is a mad-genious//the millenial ben & jerry. scratch‑made, maximalist flavors rotate weekly.",37.8461473,-122.2517074,"ice cream, dessert",$$,"5800 College Ave, Oakland, CA 94618",https://www.badwalters.com,"her ice cream is low lactose, for those of us who need that.",
ain't normal cafe,food,"rockridge coffee watchtower turned café. showcase of domestic & international roasters, natural wine & beer plus creative dishes.",37.8453539,-122.2520198,"cafe, coffee",$$,"5701 College Ave, Oakland, CA 94618",https://aintnormalcafe.com,,
mercy vintage,objects Dept,"high‑end vintage consignment boutique. mostly women's clothes. curated designer pieces & finds for everyone. buy, sell, trade.",37.8426434,-122.2517395,"store, clothes, women's clothes, vintage",$$$,"5505 College Ave, Oakland, CA 94618",https://www.mercyvintage.com,,
sobu,objects Dept,independently made warm/modern furniture + home decor. cohesive influence from laleh & alessandro's iranian & italian roots. everything feels as sturdy as it is styled.,37.8412504,-122.2517395,"store, furniture",$$$$,"5451 College Ave, Oakland, CA 94618",https://sobusobu.comhttps://www.mercyvintage.com,,
oakland tool lending library,objects Dept,"free library with 5k+ tools for home & garden. borrow saws, drills & do it yourself with an oakland ID. ",37.8382259,-122.262524,"library, tools",free.99,"5205 Telegraph Ave, Oakland, CA 94609",https://oaklandlibrary.org/locations/tool-lending-libraryhttps://alemscoffee.wixsite.com,,
snail bar,food,"natural wine bar with michellin-level small plates. andres can cook, but he's passing the place off in a bit (to very capable hands). the whole spot has an eye on good art.",37.8367153,-122.2642588,"restaurant, bar, wine",$$$$,"4935 Shattuck Ave., Oakland, CA 94609",https://snailbaroakland.com,,
understory shop,objects Dept,"temescal alley boutique pushing gorpy high fashion. wes has an eye for spotting designers not yet on the radar. clothes, shoes, zines, crystal balls. my favorite place to buy clothes in the east bay, hands down.",37.8362445,-122.2619344,"shop, clothes, men's clothes, the spot",$$$$,"484 49th St C, Oakland, CA 94609",https://understory-shop.com,,yes
rose's taproom,drinks,the orignal softcore pink taproom full of ever-more monsteras. crisp beers and simple snacks. many a first date.,37.8363452,-122.2622427,"brewery, beer, bar",$$,"4930 Telegraph Ave, Oakland, CA 94609",https://www.rosestaproom.com,,
rose pizzeria,food,"downtown berkeley spot for thin-crust pies & natural wines. they recently opened up a cafe, i haven't tried it yet lol.",37.871608,-122.271479,"restaurant, pizza",$$,"1960 University Ave, Berkeley, CA 94704",https://www.rosepizzeria.com,,
forma bakery,food,"cobalt father/son-run bakery blending french technique & mexican flavors, successfully. the bakery temescal always needed. espresso drinks are the best in temescal.",37.836201,-122.262208,"bakery, breakfast, coffee",$$,"4920 Telegraph Ave ste a, Oakland, CA 94609",https://www.formabakery.com,,
game on,aesthetic moments,a bunch of dads got together and built and interactive game lounge with custom puzzle rooms & physical challenges. as fun as it sounds for the nerdos out there. inspired by boda borg in boston.,37.8811692,-122.2969651,"fun, take the kids",$$,"1235 Tenth St, Berkeley, CA 94710",https://www.gameonberkeley.com,they sell beer.,
burdell,food,nostalgic soul food reinvented through the lens of fine dining. geoff is as sweet as he is talented -- it's very clear how much love has been poured into this space.,37.8341387,-122.2628877,"restaurant, wine",$$$$,"4640 Telegraph Ave, Oakland, CA 94609",https://www.burdelloakland.com,,
root'd,aesthetic moments,"only dispensary i'm including on this list, because it's simply the best. craft weed & community emphasis.",37.832944,-122.2629849,dispensary,$$,"4444 Telegraph Ave, Oakland, CA 94609",https://rootd510.com,,
daytrip counter,food,"everything you could possibly want a salad to be plus truly juuuuuicy chicken. daytrip (original) was a fermentation-driven party of a restaurant and i miss it, but i can afford to eat daytrip counter all the time and that's dope. it over delivers. smash for sure. ",37.8319089,-122.263417,"restaurant, wine, beer, healthy, the spot, lunch, cool space, salad, to-go, sidewalk seating",$,"4316 Telegraph Ave, Oakland, CA 94609",https://www.daytripcounter.com,(they deliver). my order: club med salad w double chicken & off menu cup of bone broth ;),
tallboy,drinks,martini dive bar slinging vegan 'tinis & weenies'. high spirits and low pretension. den is a wizard of good times. ,37.8311358,-122.2636449,"bar, cocktails, the spot, cool space, hot dogs",$$,"4210 Telegraph Ave, Oakland, CA 94609",www.instagram.com/tallboyoakland,,
temescal brewing,drinks,lively beer garden & brewery. consistently high quality beer.,37.8303549,-122.2644804,"brewery, beer",$,"4115 Telegraph Ave, Oakland, CA 94609",https://temescalbrewing.com,,
ok's deli,food,"deli throwing Korean-American-ish (read: california creative) sandwiches. the best sandwich menu in the east bay, sorry!",37.8289036,-122.2642035,"restaurant, lunch, sandwiches, to-go",$$$,"3932 Telegraph Ave, Oakland, CA 94609",https://oksdeli.com,,
taco's oscar,food,"michelin bib taqueria. inventive tacos with housemade tortillas & a shipping container ambiance in the back. always a line, always worth it.",37.8287207,-122.2604481,"restaurant, mexican, sidewalk seating, to-go",$$,"420 40th St, Oakland, CA 94609",https://www.tacososcar.com,,
umami mart,objects Dept,japanese kitchen & barware shop; sake. shochu & imported tools for your home bar. yoko & kayoko know what they're doing and are on this earth to educate those around them.,37.8280535,-122.2566927,"store, japanese, bar",$$$,"4027 Broadway, Oakland, CA 94611",https://umamimart.com,"as the snack wizard herself always said, the best bar in the east bay that closes before 7.",
joodooboo,food,banchan shop & tofu house. housemade dooboo (korean tofu) & seasonal veggie sides that change daily. steve is the man and dedicated whole-heartedly to feeding this city.,37.8325196,-122.273704,"restaurant, lunch, the spot, korean",$$,"4201 Market St, Oakland, CA 94608",https://joodooboo.com,,
eli's mile high club,drinks,"legendary dive bar & venue. live music, djs, & cravable shitty food all in a decrepit courtyard, but in a good way. tecate tall boys.",37.8257861,-122.2696812,"bar, cocktails, beer",$,"3629 Martin Luther King Jr Way, Oakland, CA 94609",https://elismilehigh.com,don't leave shit in your car.,
chapel of the chimes,aesthetic moments,historic 1909 columbarium & crematory. labyrinthine halls & spanish gothic architecture. bring a book or hard thoughts or a first date.,37.8317325,-122.24569,chilllll,free.99,"4499 Piedmont Ave, Oakland, CA 94611",https://oakland.chapelofthechimes.com,,
ebiko,food,takeout-only (but high quality). sushi & chirashi bowls. top-notch fish from tokyo markets. my favorite business model in the east bay. ,37.8266028,-122.2517074,"restaurant, to-go, japanese",$$,"4150 Piedmont Ave, Oakland, CA 94611",https://ebikooakland.com,,
piedmont springs,aesthetic moments,"private outdoor hot tubs, sauna & steam room. not a lot of same-day spots fyi.",37.8253827,-122.2541004,"sauna, chilllll, hot tub",$$,"3939 Piedmont Ave, Oakland, CA 94611",https://piedmontsprings.com,,
dracena quarry park,touch grass,hidden neighborhood park carved from an old quarry. shady benches & play area for kids. lot's of grass for those of us that miss that.,37.827068,-122.2386226,"park, picnic",free.99,"130 Dracena Ave, Piedmont, CA 94611",https://www.piedmont.ca.gov/services___departments/public_works/parks___open_space/dracena_quarry_park.php,,
june's pizza,food,"cult-favorite wood-fired pizzas. if there's truly good pizza in the east bay (i'm skeptical), this is where it's at. back in the day, craig was throwing doughs out of a shipping container a few blocks away -- the vibes were dope, but the vibes are even better now.",37.8189251,-122.2885856,"restaurant, pizza, cool space, the spot",$$,"2408 Mandela Pkwy, Oakland, CA 94607",https://www.junespizzas.com,"if the restaurant is full, grab a pie and head next door to brix brewery.",
the taco panzon,food,"west oakland food sleeper hit of a food truck. the carnitas buritto is up there on my top list of all time. marta is often throwing it down alone in there, so tip well. the best days of the week, she parks outside of ghost town brewery fyi!",37.8171081,-122.2910156,"mexican, truck",$,"2198 Campbell St #2000, Oakland, CA 94607",https://www.instagram.com/thetacopanzon,psst. you can call ahead with your order.,
soba ichi,food,"handmade soba noodle shop. cold seiro with dipping sauce & tempura, plus sake overflow. simple and perfect.",37.8170683,-122.2850253,"restaurant, japanese",$$$,"2311A Magnolia St, Oakland, CA 94607",https://www.sobaichi.com,,
ghost town brewing,drinks,metal west oakland brewery & taproom. good beer.,37.8141713,-122.2841473,"brewery, beer",$,"1960 Adeline St, Oakland, CA 94607",https://www.ghosttownbrewing.com,plan your visit around tacos panzon (food truck) being there. the carnitas burrito + salsa verde.,
the new parkway theater,aesthetic moments,community cinema & pub. couches instead of stadium seating and better programming than surrounding theaters.,37.8139671,-122.2674712,theater,$$,"474 24th St, Oakland, CA 94612",https://www.thenewparkway.com,,
lovely's,food,smashburgers. outdoor seating + a brewery if you're thirsty.,37.8129331,-122.2647019,"restaurant, to-go, brewery",$,"2344 Webster St, Oakland, CA 94612",https://www.lovelysoakland.com,,
world famous hotboys,food,hot chicken sandwich joint. take them seriously about their spice levels.,37.8065429,-122.2722254,"restaurant, to-go",$,"1601 San Pablo Ave, Oakland, CA 94612",https://www.hotboysfriedchicken.com,they're serious about their spice.,
popoca ,food,live-fire salvadoran restaurant. wood-fired pupusas (that reinvent the game). tasty cocktails.,37.8015028,-122.2741988,"restaurant, cocktails, salvadorian",$$$,"906 Washington St, Oakland, CA 94607",https://www.papoca.com,,
narrative,objects Dept,"vintage & concept store mixing gallery vibes from a collective of curators. clothing, home goods & rad art shows.",37.7973629,-122.279141,"store, vintage, the spot",$$$,"590 2nd St, Oakland, CA 94607",https://www.narrativeoakland.com,,
oakland museum of california,aesthetic moments,"truly a smangin' museum. california art, history & science under one roof. interactive galleries & community events. ",37.7987194,-122.2636163,"museum, art",$,"1000 Oak St, Oakland, CA 94607",https://museumca.org,friday night concerts are particularly fun with kids in tow.,
tacos mi rancho,food,iconic taco truck: for the drunk kids of oakland. expect your tacos wet with sauce.,37.7989689,-122.2564933,"mexican, truck, to-go",$,"1434 1st Ave, Oakland, CA 94606",https://www.instagram.com/tacosmiranchooakland,cash only -- at least it was back when i was a drunk kid in oakland. maybe they take venmo now.,
champa garden,food,lao-thai-cambodian comfort food. crispy rice salad & pumpkin curry worth the wait.,37.7981269,-122.2446633,"restaurant, laotian",$,"2102 8th Ave, Oakland, CA 94606",https://www.champagarden.com,,
grand lake theater,aesthetic moments,historic 1926 movie palace with neon marquee & wurlitzer organ. the best screen to see a film you want to care about.,37.8116043,-122.2471242,theater,$$,"3200 Grand Ave, Oakland, CA 94610",https://renaissancerialto.com,,
walden pond books,objects Dept,grand avenue's chillest indie bookstore. new & used books piled high and deep. great used prices.,37.8129118,-122.2466706,"bookstore, store",$,"3316 Grand Ave, Oakland, CA 94610",https://www.waldenpondbooks.com,,
ordinaire,drinks,"og natural wine bar & shop. up there cheese program. organic, zero-intervention bottles all over the place. ",37.8135149,-122.2463029,"bar, wine",$$,"3354 Grand Ave, Oakland, CA 94610",https://www.ordinairewine.com,this is the place to grab a bottle for the lake -- don't let anyone tell you otherwise.,
vientian cafe,food,"suuuper casual lao-thai-viet spot. lemongrass sausage, papaya salad & sticky rice. ",37.7860848,-122.2058427,"restaurant, laotian",$,"3801 Allendale Ave, Oakland, CA 94619",https://maps.app.goo.gl/ZJ62VfxhHh5Mccu67,the steam fish cake.,
taqueria el paisa,food,all the steeze at this mexican joint. very fun space. killer saudadero & birria tacos.,37.7708662,-122.2112513,"restaurant, mexican, to-go",$,"4610 International Blvd, Oakland, CA 94601",https://www.instagram.com/elpaisaoakland,i respect the spice level here.,
fikscue craft bbq,food,"indo‑tex halal barbecue. smoked brisket, satay & indonesian sides. worth it.",37.7682893,-122.2389329,"restaurant, bbq",$$$,"1708 Park St, Alameda, CA 94501",https://www.fikscue.com,,
alameda flea,objects Dept,massive first-sunday antiques fair with 800+ dealers. sunrise picking & deals.,37.7903428,-122.3024708,event,$$,"3900 Main St, Alameda, CA 94501",https://www.alamedapointantiquesfaire.com,getting there early is 100% worth the lack of sleep.,
trader vic's ,drinks,"legendary tiki bar & restaurant on the emeryville marina. hot, cheesy aura.",37.8381317,-122.3078751,"bar, cocktails, tiki",$$,"9 Anchor Dr, Emeryville, CA 94608",https://www.tradervics.com,,
enssaro,food,my personal favorite ethiopian spot. sourdough injera and all the fixings.,37.8086927,-122.2559959,"restaurant, ethiopian",$$,"357-A Grand Ave, Oakland, CA 94610",https://www.enssaro.com,,
gangnam tofu,food,"korean tofu house: bubbling sundubu jjigae & banchan. small, no frills. the fried chicken, though.",37.9272975,-122.3192658,"restaurant, korean",$$,"11740 San Pablo Ave Suite C, El Cerrito, CA 94530",https://maps.app.goo.gl/hQekTz4U2zpeQetK7,,
great china,food,"berkeley institution for peking duck & 'double skin' noodles. truly special, extensive wine list.",37.8676573,-122.2662026,"restaurant, chinese",$$,"2190 Bancroft Way, Berkeley, CA 94704",https://www.greatchinaberkeley.com,,
sfizio,food,"neighborhood italian eatery. handmade, handmade pasta, seasonal salads & spritzes. order at the counter. i have so much respect for the matt is able to keep prices down and the quality high for the community.",37.8492714,-122.2525661,"restaurant, italian",$$,"6099 Claremont Ave, Oakland, CA 94618",https://www.sfizioitaliano.com,,
sirene,food,seafood & fried chicken bistro. such a good add to the lake. creative crudos & natural wine. ,37.8128318,-122.2467551,"restaurant, seafood",$$$,"3308 Grand Ave, Oakland, CA 94610",https://www.sireneoakland.com,"chartreuse, always.",
year of the snake,food,sunday-only *funky rustic pastry* pop-up at morell's bread. egg tarts are the best in the east bay.,37.8571495,-122.2915722,"bakery, breakfast, event",$$,"2701 Eighth St #114, Berkeley, CA 94710",https://www.instagram.com/yearofthesnakeoakland,,
cellarmaker brewing,drinks,craft brewery & taproom. the hazy pilsners are the move.,37.8576504,-122.291395,"brewery, beer",$$,"940 Parker St, Berkeley, CA 94710",https://cellarmakerbrewing.com,,
poppy bagels,food,small-batch bagelry making chewy montreal-style bagels in a sun-filled space. the block is hot.,37.8364934,-122.2622072,"breakfast, bagels",$$,"5004 Telegraph Ave, Oakland, CA 94609",https://www.poppybagels.com,,
johansson projects,aesthetic moments,contemporary gallery showing emerging & established artists. fun openings & good people.,37.8126736,-122.2685346,"art, art gallery",$$$$,"2300 Telegraph Ave, Oakland, CA 94612",https://www.johanssonprojects.com,,
part 2 gallery,aesthetic moments,"eclectic gallery hosting rotating exhibitions & community events. lots of new stuff, constantly.",37.8049613,-122.2681578,"art, art gallery",$$$$,"1523b Webster St, Oakland, CA 94612",https://www.part2gallery.com,,
